comment_text,y_prob,male,female,homosexual_gay_or_lesbian,christian,jewish,muslim,black,white
That's right. it takes a man to show women how to be a woman. Just look at Bruce Jenner.,0.020449394,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
You left out the part where he said. If abortion is illegal then the woman should be punished.,0.028060742,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"It seems to me we, and more importantly our children, will have a grim future under Clinton...  She will open the border to tens of millions of immigrants and their families (including Muslims from Syria, from who some will have evil intentions), sapping our social services and changing the face and culture of America.  She will give up more of our sovereignty through international Climate Change and other agreements.  She will add trillions to the existing 19 trillion in Federal  deficits, further burdening each citizen with over $59,000 in debt. She will diminish the economy, if nothing else by discouraging energy production. She is a proven war monger and distabilizer of the world (see Libya). She will continue to grow the federal government, taking power from the States and citizenry. She will further the greater downward glide path of the middle class and of this great nation.... In fact in the terms of her probable opponent, ""She will be a disaster for this country"".",0.04972728,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0
"You write like you're the one that wrote Lynn Gattis' talking point about doing away with the senior citizens, Gay.  How much did you get paid for that script?",0.08441725,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"No, but that's not what we're talking about here is it?  Why?  Because someone can't decide to identify as a different race (yet).  Rachel Dolezal gave that a good try though.  

Think about this, colleges granting full ride scholarships to the best ""female"" athletes.  You would have ""transgender boys/men"" taking sport scholarships from real girls/women because they're better at them is certain sports.  

That'd be no different then a Elizabeth Warren being granted teaching jobs at Ivy League schools by falsely claiming she's Native American when she's not.  You liberals better think these ridiculous new ""rules and laws"" through before blindly going along with them like the sheep you are.",0.08977329,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Why an assault weapon ban??? There wasn't one used in this tragedy. Maybe an appropriate ban would be on Muslims.,0.10087861,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"True fact that. But in a bad situation, a less bad situation is better. The bad guy had control for over 3 hours. Hell if everybody just threw their cell phones at the guy he could have been overtaken with fewer casualties. Waiting 3 hours while texting your last few thoughts is beyond the pale. When the bad guys figure out the success this has had they will come with a dozen gunmen next time and take over a dozen venues. They will hit and run in Gorilla fashion. Neither the Police nor the Army can stop them. The only way to limit this kind of attack is through the use of neighborhood Militias. Regular family men ready to grab their weapon and run into the firefight. It doesn't matter if its a Muslim Terrorist, or a Christian Terrorist, or a horde of Barbarians. Once they are coming down your street it is too late to call the police or the Army. The Army is there to keep them away not help you. The police are there to get them after they leave. Protect Yourself and Neighbor.",0.10261904,0.4,0.0,0.0,0.9,0.0,0.9,0.0,0.0
"Other than being black and having plastic coverings, what is your definition of an ""assault weapon"".",0.13128456,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
And most of you complainers are women who seem to have nothing better to do than complain about the constitution,0.1525365,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"The GOP doesn't act on their values vs the left that doesn't even pretend to have any values. That's not a very tough call to make Ryan. Hillary Clinton will be indicted that much has become clear and crazy Bernie da Bomber wasn't even a successful senator...and values? No one ran from his values faster than Bernie. But lets start with the crazy part:

He wrote in the 1970s that the country was close to experiencing a nuclear apocalypse or ""death by poison gas."" He claimed cervical cancer was caused by women not experiencing enough orgasms

When he launched his campaign in May, this economic illiterate blamed the abundance of consumer goods for child hunger

Don’t forget how much women love being raped because Bernie hasn’t.",0.16000333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
