comment_text,y_prob,male,female,homosexual_gay_or_lesbian,christian,jewish,muslim,black,white
"They're useless if the person you want to refuse service to is a member of a protected class. Being disruptive, drunk, etc., is unlikely to give you sufficient cause to remove them unless they are a white, heterosexual, non-disabled male who is not a member of a religious minority with distinct features.",0.9898499,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9
"I think everyone's sexuality should stay in the closet! What kind of society judges others based upon sexual preference or defines themselves by their sexual preference? Why not simply give others personal privacy; this country seems obsessed with gay, gay rights, transgender issues, who's gay, what's gay, shake a person's hand and they introduce themselves by sexual preference, ""hi, I'm John and I'm gay."" Honestly, besides the rare hater ignorantly wandering about, who cares? The ignorant haters will find anything they can to hate, any part of a person weather gender, nationality, sexual preference, religion it doesn't matter but the whole gay thing is becoming a circus! This gentleman sounds like he was mistreated and that's a shame but the result may have been the same if he was Jewish, a black man or a woman.",0.98951083,0.5,0.4,0.9,0.0,0.8,0.0,0.4,0.0
"You cherry pick the parts of the Bible you like, and judge gays for doing the same.   I know many Christians who would call you a Jezebel for claiming to have authority over men.   That is fine with me, but your hypocrisy isn't.  And if you are going to flag people who state this simple fact we will flag you into oblivion as well...",0.9887988,0.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0
"Got it, straight, white, males get all the benefits none of the responsibilities, the rest of us can pee in the bushes and fight over your table scraps.",0.9814534,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8
Did ASAA even check this person's credentials ? Did anybody look at a doctor's file to actually see if this person suffers from gender dysmorphia ? Is this person on HRT (Hormone Replacement Therapy) ? Has this person had GRS (Gender Reassignment Surgery) or on the list for it recommended by a doctor ? Is this just a boy who has long hair ? Are we just taking someone's word ? What does the birth certificate say ? Who is vetting this whole ordeal ?  I'm sorry. I am not a hater or some kind of racist BUT the whole Trans-Sexual/ Trans-Gender platform has gotten out of hand. Who is asking these questions ? Or has it gotten so out of hand and politically correct that no one is asking ? You can just show up and play on whatever team you want to sign up for ? If you are born a boy....Boys teams. If you were born a girl....Girls team. If you fit neither and don't want to participate on the correct team that matches your born sex you are just out...Simple as that !!,0.97573924,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0
"And where is the condemnation from the ""peace loving"" Muslim community? The eerie silence is chilling. I'm seeing nothing on local or national news wires. As expected Obama and Billary move immediately to politicize the event and use it as a tool to once again go after guns. What no one can dispute is that if not guns then a suicide bomb easily made over the Internet like in Boston. This is a religious  war against our way of life. Simple as that. If that makes me a hater fine. No murderous sects of Lutherans or Methodists running around that I'm aware of.. We must pray a change in leadership will take a much different approach before more innocents die. The only common thread is every killer whether organized group or lone wolf are radicalized Muslims. We need to wake up and read what's actually in the Koran that these people are following. The argument that one could take literal interpretations from the bible to do the same thing  ignores  that no radicalized Christians are killing.",0.9756698,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0
"What an elitist and snobbish article.  Finding racism where there is none with this sentence about Trump supporters - ""And for all of their denigration of the first black president, they’ve done nothing to quell rising African-American visibility and power."".  We don't care what color Obama is - we can't tolerate his policies and his hate for America.  The only people that think this is racist are people supporting Obama only because he is black and liberal.   We don't care - we hate his policies.  Rising African-American visibility and power???? Is he kidding?  Blacks have been screwed by Obama more than whites.  And, by the way, I don't give a flying hoot who has power - I care how it is used.  This article shows a person totally out of touch with the real world from living in an echo chamber of like minded groupthought that is prevalent on campus today.",0.974893,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
"Isn't that what the all these white politicians, regardless of party, have done since time immemorial?  Didn't hear you whinging when we had an oil company lawyer in the governor's chair.

Methinks thou dost protest too much.  Most of us, on the other hand, don't protest enough...",0.9716448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"I am not referring to content, but I am sure you already were aware of this, As far as ""social engineering"", I mean primarily morals on every aspect of life - that should be taught in the home. And my main beef with government schools is primarily derived from from the fact that I am forced to pay twice - for my private school (you did not know that did you) and for the government schools. 

You are really cut from the same mold as Donald Trump:

All Muslims are Jihadists
All Mexicans need to be deported
All Homeschoolers are disciples of the Tim McVeigh and the Montana Freemen...

I do not need (nor do I have) letters after my name to refute the arguments of a Bigot, my 11 year old (trained in Rhetoric by his uneducated Dad) can do that all on his own.",0.96864927,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Women will not vote for Hillary because she is a woman. That's a straw horse argument that Christine constructed, so she could knock it down, with her smug, snarky ""wit"" .

Women will vote for her because she's the most qualified candidate, and she's not Donald Trump, who is the least qualified candidate ever nominated by a major party.",0.9659317,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0
